t_ms,label,f1,f2,f3,f4,f5,ax,ay,az,gx,gy,gz
5216,0,702,1343,0,1,0,4.38,-7.07,3.02,0.00,-0.02,-0.67
5236,0,574,1435,0,0,20,2.45,-8.61,1.48,0.08,0.19,-1.24
5256,0,571,1447,0,5,0,0.91,-9.72,-0.21,0.15,0.30,-2.07
5276,0,437,1470,10,2,0,0.02,-9.13,-1.23,0.36,0.45,-2.93
5296,0,378,1316,0,3,3,-0.18,-7.68,-1.52,0.80,0.57,-3.68
5316,0,137,0,1,9,0,-0.67,-5.89,-1.52,1.24,0.84,-4.17
5336,0,1263,7,0,0,2,-1.41,-4.24,-0.72,1.66,1.17,-4.37
5356,0,1339,0,4,2,0,-2.39,-2.37,-0.48,1.58,1.50,-4.37
5376,0,1366,752,3,7,6,-3.11,-0.52,0.54,1.38,1.37,-4.37
5396,0,1383,11,12,2,0,-3.00,1.19,0.84,0.90,1.26,-4.37
5416,0,1352,1308,508,0,1639,-3.73,3.86,2.99,1.32,1.17,-4.37
5436,0,1326,2378,1887,1332,2030,-2.84,7.61,4.20,1.50,1.11,-4.37
5456,0,435,2856,2225,1946,2364,-4.09,12.71,6.33,1.52,1.25,-4.37
5476,0,1295,2972,2614,2233,2605,-0.96,15.53,9.00,0.80,2.77,-4.37
5496,0,2046,2968,2824,2570,2807,-5.37,20.09,9.42,3.44,2.89,-3.97
5516,0,2094,3020,2861,2717,2896,0.14,27.18,8.64,4.37,1.34,-4.13
5536,0,2153,3152,2885,2787,2960,5.02,29.17,11.51,3.12,0.97,-3.32
5556,0,2306,3195,2965,2841,2963,6.20,28.63,13.40,0.28,1.86,-2.98
5576,0,2331,3212,2967,2882,2846,5.25,21.71,16.83,0.11,1.30,-2.05
5596,0,2330,3218,2973,2960,2977,7.32,23.15,12.06,0.01,0.52,-0.98
5616,0,2441,3222,2649,2978,2986,7.30,22.18,12.84,0.82,-0.25,0.21
5636,0,2481,3225,3023,2998,2975,6.29,21.91,12.01,0.11,0.05,0.50
5656,0,2593,3225,3024,3006,2977,4.53,15.84,13.49,-0.55,0.81,0.88
5676,0,2570,3228,3019,3006,2974,1.42,17.29,8.88,-0.65,-0.27,2.00
5696,0,2545,3223,3015,3019,2983,1.37,17.55,7.85,0.22,-2.15,3.24
5716,0,2533,3224,3005,3018,2973,0.79,15.89,7.72,0.51,-2.25,3.68
5736,0,2467,3229,3012,3006,2979,0.11,13.37,6.45,-0.38,-1.10,3.50
5756,0,2416,3223,3003,3012,2970,-1.59,12.15,6.01,-3.21,0.85,2.68
5776,0,2454,3225,3012,3004,2969,-3.16,8.81,1.45,-4.31,1.12,1.58
5796,0,2447,3223,2987,3004,2965,-5.10,2.50,1.86,-2.67,-1.72,1.55
5816,0,2409,3221,2942,3005,2947,-1.96,-1.99,-2.92,-0.77,-1.96,2.44
5836,0,2404,3221,2911,3002,2959,-0.66,-5.54,-4.56,0.37,-2.56,2.23
5856,0,2374,3221,2856,3004,2955,1.03,-6.46,-3.04,0.08,-2.07,1.64
5876,0,2383,3222,2798,3006,2960,-7.87,-3.70,-7.44,1.73,0.06,-0.48
5896,0,2366,3226,2891,3004,2953,-1.25,-4.99,-1.64,0.57,1.14,-0.62
6900,0,0,2894,2247,1846,1674,2.06,7.14,4.44,0.23,0.35,-0.05
6920,0,0,2855,2082,1737,1426,1.98,7.22,4.54,0.15,0.36,-0.16
6940,0,292,2812,1958,1625,883,1.91,7.16,4.70,0.18,0.37,-0.23
6960,0,1114,2778,1801,1425,719,1.78,7.63,4.98,0.40,0.44,-0.32
6980,0,1166,2736,1739,1132,555,1.56,7.98,4.67,0.40,0.43,-0.49
7000,0,1273,2670,1635,1118,382,1.64,8.01,4.92,0.28,0.28,-0.66
7020,0,1282,2639,1241,825,326,1.88,8.44,4.54,0.29,0.36,-0.73
7040,0,1330,2593,817,759,245,1.78,8.88,4.50,0.41,0.35,-0.79
